recorded_at,value_usd,twenty_four_hour_trading_volume_usd,SMA_100,SMA_200,EMA_50,EMA_100,VWAP,OBV,RSI,EMA_12,EMA_26,MACD,MACD_Signal,Bollinger_Mid,Bollinger_Std,Bollinger_Upper,Bollinger_Lower,High_Low,High_Close,Low_Close,True_Range,ATR,Money_Flow_Multiplier,Money_Flow_Volume,CMF,Lowest_Low,Highest_High,%K,%D
2024-06-15 00:00:00+00:00,66300.62773063153,27966992832.749634,,,66783.46278813554,65374.37027001898,66785.96960325674,16458995223.179688,40.40678968104027,68178.1317824501,67907.42225028427,270.7095321658271,791.3961751961425,68639.00675613504,1177.3305198767541,70993.66779588856,66284.34571638153,0.0,678.010728635476,678.010728635476,678.010728635476,577.0314917857644,,,,66300.62773063153,70848.06626345572,0.0,0.0
2024-06-16 00:00:00+00:00,66272.36801585618,13472726244.723091,,,66763.4198558893,65392.15240359992,66779.49698334839,2986268978.4565964,41.34106106409614,67884.93735682027,67786.30712180812,98.63023501215503,652.8429871593451,68500.21656666031,1285.2266739093238,71070.66991447896,65929.76321884166,0.0,28.25971477535495,28.25971477535495,28.25971477535495,563.9910908859996,,,,66272.36801585618,70848.06626345572,0.0,0.0
2024-06-17 00:00:00+00:00,66422.13809651021,12650130203.722813,,,66750.03625748228,65412.548159895174,66775.31782310687,15636399182.179409,39.06702598116182,67659.89131677257,67685.25756437864,-25.36624760607083,517.2011402062619,68384.77837637233,1364.6480045809553,71114.07438553424,65655.48236721041,0.0,149.77008065403788,149.77008065403788,149.77008065403788,542.942790720302,,,,66272.36801585618,70848.06626345572,3.2731634069752884,1.0910544689917627
2024-06-18 00:00:00+00:00,66061.74720420255,29409728999.276093,,,66723.04452990268,65425.40358651512,66756.43063081804,-13773329817.096684,28.64823530152394,67414.0229917618,67564.99753769893,-150.97454593713337,383.5660029775829,68266.8467334489,1459.9940203641333,71186.83477417716,65346.85869272063,0.0,360.39089230766695,360.39089230766695,360.39089230766695,499.74012234595386,,,,66061.74720420255,70848.06626345572,0.0,1.0910544689917627
2024-06-19 00:00:00+00:00,65492.25946629773,41386972050.31837,,,66674.778448977,65426.72746532269,66711.03371560511,-55160301867.415054,13.340386064419832,67118.36706476733,67411.4613842618,-293.09431949447026,248.23393848317227,68137.01980085051,1586.615079436189,71310.24995972289,64963.78964197813,0.0,569.4877379048194,569.4877379048194,569.4877379048194,458.4039481875542,,,,65492.25946629773,70848.06626345572,0.0,1.0910544689917627
2024-06-20 00:00:00+00:00,64953.68794592377,21680698980.889107,,,66607.28470375923,65417.36034612667,66678.58531107409,-76841000848.30417,3.2622132182042947,66785.33950802217,67229.40409253306,-444.06458451089566,109.77423388435868,67994.29230962528,1738.839330606623,71471.97097083852,64516.61364841203,0.0,538.5715203739601,538.5715203739601,538.5715203739601,450.41394947358015,,,,64953.68794592377,70423.18333735951,0.0,0.0
2024-06-21 00:00:00+00:00,64607.79110343017,26001551474.84426,,,66528.87319002084,65401.32927201386,66633.72246337585,-102842552323.14844,3.303593873582173,66450.33206116185,67035.2105377847,-584.8784766228491,-29.15630821708288,67832.15229580611,1896.9453966052001,71626.04308901652,64038.26150259571,0.0,345.8968424935956,345.8968424935956,345.8968424935956,444.77208635910785,,,,64607.79110343017,69800.01823496104,0.0,0.0
2024-06-22 00:00:00+00:00,64385.40073027293,24694310198.90943,,,66444.81544650132,65381.2118751477,66588.39505273386,-127536862522.05786,3.5308491266709723,66132.65031794817,66838.92832982088,-706.2780118727096,-164.58064894820822,67669.4340296977,2047.8894671253245,71765.21296394835,63573.65509544705,0.0,222.39037315724272,222.39037315724272,222.39037315724272,416.14531998473416,,,,64385.40073027293,69487.48082338585,0.0,0.0
2024-06-23 00:00:00+00:00,63844.29505240531,6340606686.24879,,,66342.834254576,65350.777878657755,66574.26336691882,-133877469208.30666,3.429238175661581,65780.5956617108,66617.10364260491,-836.5079808941082,-298.96611533738826,67457.4381655472,2215.305329390142,71888.04882432747,63026.82750676691,0.0,541.1056778676211,541.1056778676211,541.1056778676211,428.4760242274045,,,,63844.29505240531,69487.48082338585,0.0,0.0
2024-06-24 00:00:00+00:00,62608.16528260084,10748270931.518738,,,66196.37664783187,65296.4687183398,66539.93995510404,-144625740139.82538,2.086266765473084,65292.529449540045,66320.14524556758,-1027.6157960275305,-444.6960514754167,67135.37440042905,2429.5380843179096,71994.45056906487,62276.29823179323,0.0,1236.1297698044655,1236.1297698044655,1236.1297698044655,512.775407292363,,,,62608.16528260084,68825.49689133473,0.0,0.0
